Date,Number
2019-10,60781
2019-11,62469
2019-12,60794
2020-01,58317
2020-02,76545
2020-03,103731
2020-04,109415
2020-05,144116
2020-06,104311
2020-07,81777
2020-08,62707
2020-09,52546
2018-10,34871
2018-11,39051
2018-12,40519
2019-01,35905
2019-02,36751
2019-03,50347
2019-04,51168
2019-05,51862
2019-06,43180
2019-07,40149
2019-08,46719
2019-09,50568
2017-10,66842
2017-11,63218
2017-12,58379
2018-01,42359
2018-02,23557
2018-03,16794
2018-04,15798
2018-05,19966
2018-06,22673
2018-07,25069
2018-08,30582
2018-09,36317
2016-10,45416
2016-11,45755
2016-12,48742
2017-01,33657
2017-02,38311
2017-03,46418
2017-04,46841
2017-05,55386
2017-06,45671
2017-07,46909
2017-08,46909
2017-09,50153
2015-10,35903
2015-11,33032
2015-12,34243
2016-01,30180
2016-02,32550
2016-03,39162
2016-04,38296
2016-05,40683
2016-06,38619
2016-07,33611
2016-08,42415
2016-09,41165
2014-10,41828
2014-11,33685
2014-12,36605
2015-01,35181
2015-02,42309
2015-03,57405
2015-04,59119
2015-05,68904
2015-06,66541
2015-07,48619
2015-08,39758
2015-09,34003
